status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
at_stop,0.0,20.0,15.439079895036027,2989.0,POINT (36.74874991 -1.193359226),0111OJC,10114111
travelling,0.0892268271336592,19.0,15.528306722169686,3028.0,"LINESTRING (36.74875773494059 -1.1933443097068328, 36.748752594 -1.19334161282, 36.7484039068 -1.19316995144, 36.7480444908 -1.19301974773, 36.74802734066371 -1.193012538118438)",,10114111
at_stop,0.0,20.0,15.528306722169686,3028.0,POINT (36.74802 -1.19303),0111NDS,10114111
travelling,0.1716096772750102,28.0,15.699916399444696,3076.0,"LINESTRING (36.74802734066371 -1.193012538118438, 36.74736 -1.192732, 36.7465800047 -1.19255840778, 36.746560264098726 -1.1925560003896538)",,10114111
at_stop,0.0,20.0,15.699916399444696,3076.0,POINT (36.74655586 -1.192592114),0111UKG,10114111
travelling,0.17030941900760618,28.0,15.870225818452303,3124.0,"LINESTRING (36.746560264098726 -1.1925560003896538, 36.74504112926243 -1.1923707400478556)",,10114111
at_stop,0.0,20.0,15.870225818452303,3124.0,POINT (36.74504 -1.19238),0101REN,10114111
travelling,0.16539460269568032,28.0,16.035620421147982,3172.0,"LINESTRING (36.74504112926243 -1.1923707400478556, 36.7450404167 -1.19237065315, 36.74356678428218 -1.1921830999268295)",,10114111
at_stop,0.0,20.0,16.035620421147982,3172.0,POINT (36.74356252 -1.192216605),0111EED,10114111
travelling,0.5484746637994801,69.0,16.584095084947464,3261.0,"LINESTRING (36.74356678428218 -1.1921830999268295, 36.7435652018 -1.19218289852, 36.7425781488 -1.19204342365, 36.741695 -1.191768, 36.740833 -1.191378, 36.740093 -1.190981, 36.739475 -1.190549, 36.7390738469176 -1.1903041809145913)",,10114111
at_stop,0.0,20.0,16.584095084947464,3261.0,POINT (36.73904836 -1.190345943),0111ENP,10114111
