vehicle_id,charging_sequence,charging_need_kWh,remaining_need_kWh,min_capacity_kWh
10114111_9,"[{'start_time': '00:00:00', 'end_time': '04:29:36', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 49.42826945273236}, {'start_time': '21:56:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 22.73027777777778}]",72.15854723051014,0.0,72.15854723051014
10114111_10,"[{'start_time': '00:00:00', 'end_time': '03:59:21', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 43.88153203399045}, {'start_time': '21:24:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 28.596944444444446}]",72.4784764784349,0.0,72.47847647843491
10114111_11,"[{'start_time': '00:00:00', 'end_time': '04:29:37', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 49.43159536712329}, {'start_time': '21:54:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 23.096944444444446}]",72.52853981156774,0.0,72.52853981156774
10114111_12,"[{'start_time': '00:00:00', 'end_time': '04:08:53', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 45.63115737740149}, {'start_time': '21:34:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 26.763611111111114}]",72.39476848851261,0.0,72.3947684885126
10114111_13,"[{'start_time': '00:00:00', 'end_time': '03:58:18', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 43.689162037346534}, {'start_time': '21:24:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 28.596944444444446}]",72.28610648179098,0.0,72.286106481791
10114111_14,"[{'start_time': '00:00:00', 'end_time': '03:59:47', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 43.96079694544636}, {'start_time': '21:28:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 27.86361111111111}]",71.82440805655747,0.0,71.82440805655747
10114111_15,"[{'start_time': '00:00:00', 'end_time': '04:08:37', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 45.58196359635548}, {'start_time': '21:37:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 26.21361111111111}]",71.79557470746659,0.0,71.79557470746659
10114111_16,"[{'start_time': '00:00:00', 'end_time': '03:37:35', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 39.89168763960263}, {'start_time': '21:11:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 30.98027777777778}]",70.87196541738041,0.0,70.87196541738042
10114111_17,"[{'start_time': '00:00:00', 'end_time': '04:12:47', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 46.34434168808797}, {'start_time': '21:48:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 24.196944444444448}]",70.54128613253242,0.0,70.54128613253242
10114111_18,"[{'start_time': '00:00:00', 'end_time': '03:25:06', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 37.60334657390217}, {'start_time': '21:07:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 31.71361111111111}]",69.31695768501328,0.0,69.3169576850133
