shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1107D111,-1.20466053486,36.7825269699,17
1107D111,-1.20440840721,36.783669591,18
1107D111,-1.20430111885,36.7843133211,19
1107D111,-1.2042850256,36.7852199078,20
1107D111,-1.20432794094,36.7859977484,21
1107D111,-1.20448887348,36.7869579792,22
1107D111,-1.20465517044,36.7877733707,23
1107D111,-1.20492875576,36.7884922028,24
1107D111,-1.20518088341,36.7890125513,25
1107D111,-1.205542,36.789581,26
1107D111,-1.20610356331,36.7907184362,27
1107D111,-1.20650053024,36.7917913198,28
1107D111,-1.20668292046,36.792794466,29
1107D111,-1.20704770088,36.7945325375,30
1107D111,-1.20718717575,36.7951333523,31
1107D111,-1.20733737946,36.7956376076,32
1107D111,-1.20752513409,36.7962008715,33
1107D111,-1.207498312,36.7963564396,34
1107D111,-1.20755195618,36.7964744568,35
1107D111,-1.20763242245,36.7965441942,36
1107D111,-1.20776116848,36.7966353893,37
1107D111,-1.20792746544,36.7970269918,38
1107D111,-1.20820641518,36.7976760864,39
1107D111,-1.20845317841,36.7980891466,40
1107D111,-1.21118366718,36.8031316996,41
1107D111,-1.21199369431,36.8047517538,42
1107D111,-1.21343,36.807961,43
1107D111,-1.21424674988,36.8102395535,44
1107D111,-1.215015,36.81282,45
1107D111,-1.21553421021,36.8150299788,46
1107D111,-1.21587753296,36.8169558048,47
1107D111,-1.21619403362,36.8191444874,48
1107D111,-1.21639251709,36.8218964338,49
1107D111,-1.21644616127,36.8233931065,50
1107D111,-1.21647834778,36.8250024319,51
1107D111,-1.216291,36.82832,52
1107D111,-1.21603,36.830585,53
1107D111,-1.21551811695,36.8335264921,54
1107D111,-1.21536254883,36.834551096,55
1107D111,-1.21528208256,36.8352216482,56
1107D111,-1.21529281139,36.8358063698,57
1107D111,-1.21551811695,36.8373835087,58
1107D111,-1.21562004089,36.8379360437,59
1107D111,-1.21562004089,36.8379360437,60
1107D111,-1.21644616127,36.8451780081,61
1107D111,-1.216458,36.846275,62
1107D111,-1.21637,36.847267,63
1107D111,-1.216158,36.848267,64
1107D111,-1.21570587158,36.8500328064,65
1107D111,-1.21563076973,36.8501830101,66
1107D111,-1.21552884579,36.850322485,67
1107D111,-1.215382,36.850445,68
1107D111,-1.215296,36.850613,69
1107D111,-1.215342,36.850758,70
1107D111,-1.21544837952,36.8509876728,71
1107D111,-1.21529281139,36.8529134989,72
1107D111,-1.21505141258,36.864683032,73
1107D111,-1.21499240398,36.8659704924,74
1107D111,-1.214876,36.86705,75
1107D111,-1.214595,36.868015,76
1107D111,-1.21393024921,36.869328618,77
1107D111,-1.21114075184,36.8744945526,78
1107D111,-1.21075451374,36.8752241135,79
1107D111,-1.20701551437,36.8821442127,80
1107D111,-1.20023488998,36.8947291374,81
1107D111,-1.19870066643,36.8970680237,82
1107D111,-1.19718790054,36.8995571136,83
1107D111,-1.19534254074,36.9028937817,84
1107D111,-1.194895,36.903553,85
1107D111,-1.194468,36.904045,86
1107D111,-1.193981,36.904503,87
1107D111,-1.19313,36.90509,88
1107D111,-1.192574,36.905411,89
1107D111,-1.191478,36.905861,90
1107D111,-1.190759,36.906059,91
1107D111,-1.18835270405,36.9063860178,92
1107D111,-1.18711,36.906544,93
1107D111,-1.186094,36.906792,94
1107D111,-1.18596553802,36.906697154,95
1107D111,-1.1858,36.906677,96
1107D111,-1.18567585945,36.9066810608,97
1107D111,-1.185566,36.906757,98
1107D111,-1.185514,36.906891,99
1107D111,-1.185265,36.907059,100
1107D111,-1.184769,36.907238,101
1107D111,-1.183703,36.907768,102
1107D111,-1.182092,36.908825,103
1107D111,-1.17892742157,36.9114285707,104
1107D111,-1.17775797844,36.9122493267,105
1107D111,-1.17481827736,36.9143038988,106
1107D111,-1.17083787918,36.9170612097,107
1107D111,-1.16848826408,36.918643713,108
1107D111,-1.167737,36.919098,109
1107D111,-1.16612792015,36.9198024273,110
1107D111,-1.16373538971,36.9207841158,111
1107D111,-1.16143941879,36.921749711,112
1107D111,-1.15996420383,36.9225007296,113
1107D111,-1.15636467934,36.9251453876,114
1107D111,-1.15548491478,36.9259285927,115
1107D111,-1.1551630497,36.9261270761,116
1107D111,-1.155051,36.92609,117
1107D111,-1.154922,36.92609,118
1107D111,-1.15315675735,36.9203388691,119
1107D111,-1.15294754505,36.9201725721,120
1107D111,-1.1528134346,36.9200599194,121
1107D111,-1.152559,36.919975,122
1107D111,-1.15215,36.919857,123
1107D111,-1.15190684795,36.9203817844,124
1107D111,-1.15073204041,36.9228923321,125
1107D111,-1.15066,36.923218,126
1107D111,-1.150674,36.92363,127
1107D111,-1.15104317665,36.925252676,128
1107D111,-1.15146160126,36.9268405437,129
1107D111,-1.15167081356,36.927972436,130
1107D111,-1.15182101727,36.9292974472,131
1107D111,-1.15186393261,36.9298660755,132
1107D111,-1.1518317461,36.9304454327,133
1107D111,-1.15145623684,36.932939887,134
1107D111,-1.15115582943,36.9354504347,135
1107D111,-1.1508500576,36.9415873289,136
1107D111,-1.14945530891,36.9460880756,137
1107D111,-1.14940702915,36.9463777542,138
1107D111,-1.14941239357,36.9466513395,139
1107D111,-1.1497181654,36.9489634037,140
1107D111,-1.14997565746,36.9507390261,141
1107D111,-1.14995956421,36.9513291121,142
1107D111,-1.148341,36.959267,143
1107D111,-1.148341,36.959267,144
1107D111,-1.147874,36.959194,145
1107D111,-1.147874,36.959194,146
1107D111,-1.147791,36.959499,147
1107D111,-1.147791,36.959499,148
1107D111,-1.14763140678,36.9594615698,149
1107D111,-1.14765822887,36.9593167305,150
